panel,series,sweep_name,sweep_value,realization,sigma2_noise,sigma_noise,lambda,kappa,beta_hat_1,beta_hat_2,E_gen,R2_gen,z,E_acc_over_S,R2_acc
fixed_lambda,representative_path,sigma2,0.02606642641126127,3,0.02606642641126127,0.1614510031286931,0.05,0.05179536610433671,0.9900833524148503,0.2594707780122074,0.018182192345413628,0.9851803795375225,-0.16709039905360035,0.04024456671437649,0.9720807985441086
fixed_lambda,representative_path,sigma2,0.029758240226578497,3,0.029758240226578497,0.1725057686762344,0.05,0.05179536610433671,0.9891384658506195,0.2647862834168852,0.018225864051705336,0.9851447843738648,-0.16795973975054335,0.04074944552799469,0.9717895258229298
fixed_lambda,representative_path,sigma2,0.03397292929268495,3,0.03397292929268495,0.18431746876702965,0.05,0.05179536610433671,0.9881288816429288,0.2704657485671,0.018276997042891128,0.9851031077977903,-0.16883391486916988,0.0412613804560946,0.9714951091899499
fixed_lambda,representative_path,sigma2,0.03878454894973716,3,0.03878454894973716,0.19693793171894833,0.05,0.05179536610433671,0.9870501698578293,0.2765340942721229,0.01833673543879097,0.9850544172803073,-0.16970589215277454,0.0417762958850924,0.9711999101686308
fixed_lambda,representative_path,sigma2,0.04427764306913773,3,0.04427764306913773,0.21042253460391958,0.05,0.05179536610433671,0.9858975972378847,0.28301794770227917,0.018406391384433875,0.984997643341402,-0.17056719512530394,0.04228911526625485,0.9709068319470865
fixed_lambda,representative_path,sigma2,0.05054872955461421,3,0.05054872955461421,0.22483044623585616,0.05,0.05179536610433671,0.984666106433209,0.2899457592257639,0.01848746925725637,0.9849315598196623,-0.17140768433405984,0.04279359506435359,0.9706194057512353
fixed_lambda,representative_path,sigma2,0.05770799623628855,3,0.05770799623628855,0.24022488679628626,0.05,0.05179536610433671,0.9833502938104222,0.29734792724543363,0.018581693330838533,0.9848547613246079,-0.1722153099344682,0.04328214100305894,0.970341887024175
fixed_lambda,representative_path,sigma2,0.06588123695590493,3,0.06588123695590493,0.25667340523689813,0.05,0.05179536610433671,0.9819443857421593,0.30525693158333755,0.01869103938664954,0.9847656374711472,-0.17297583235144354,0.04374560794500628,0.9700793614223253
fixed_lambda,representative_path,sigma2,0.07521206186172788,3,0.07521206186172788,0.27424817567620735,0.05,0.05179536610433671,0.9804422132730884,0.31370747599826604,0.018817770835015964,0.984662343438735,-0.17367250745841756,0.04417308638822381,0.9698378601531059
fixed_lambda,representative_path,sigma2,0.0858644207496981,3,0.0858644207496981,0.29302631409089885,0.05,0.05179536610433671,0.9788371850512768,0.32273664046166617,0.018964479986151233,0.9845427663329113,-0.1742857324103494,0.04455168086200788,0.9696244834781881
fixed_lambda,representative_path,sigma2,0.098025483787898,3,0.098025483787898,0.3130902166914482,0.05,0.05179536610433671,0.9771222584061328,0.33238404386009185,0.019134135202995953,0.9844044867527949,-0.17479264795398441,0.044866288642222286,0.9694475302212344
