model,metric,tau,noise_255,trace,mc_se,seed_sd,seed_min,seed_max,exact_trace,relative_to_exact,relative_mc_se,outside_rgb_fraction,n_seeds,directions,centers,h
dinov2_vitb14_reg,even,0.0313725490196078,7.999999999999989,2468.468247975998,7.4905131538059235,1694.2949558608404,866.437677760528,5983.473476158186,11928.312782752737,0.20694194501213786,0.0006279608264998323,0.01823576972598115,10,64,8,3e-05
dinov2_vitb14_reg,even,0.0627450980392156,15.999999999999979,1220.7983146964498,2.9963655382933583,550.7387885500511,542.6416804084007,2140.322730935996,11928.312782752737,0.10234459281295959,0.0002511977672672897,0.03792809077671593,10,64,8,3e-05
dinov2_vitb14_reg,local_forward,0.0,0.0,11535.711223110888,256.23896933743833,17126.606184843793,1160.1296609803596,53561.12963897544,11928.312782752737,0.9670865807434631,0.021481576984461435,0.0,10,64,8,3e-05
dinov2_vitb14_reg,neighborhood,0.0019607843137254,0.499999999999977,11947.602652054364,187.3042294359287,17412.619480851183,1157.9365767831955,54372.91876232557,11928.312782752737,1.0016171498562243,0.015702491445961555,0.001477321962110013,10,64,8,3e-05
dinov2_vitb14_reg,neighborhood,0.0078431372549019,1.9999999999999845,7388.875550695733,92.30622392834206,9059.318052653978,1092.3581977974172,27596.938951793665,11928.312782752737,0.6194401241204356,0.007738414108473792,0.004931901425731388,10,64,8,3e-05
dinov2_vitb14_reg,neighborhood,0.0313725490196078,7.999999999999989,1581.3502369772505,10.062495458946618,1076.3767520906342,736.9852996554457,3760.756918131541,11928.312782752737,0.13257115786431592,0.000843580784827849,0.01823576972598115,10,64,8,3e-05
dinov2_vitb14_reg,neighborhood,0.0627450980392156,15.999999999999979,684.1009463040016,3.7081084684148293,288.5061073028134,450.7878998718276,1246.3692838278316,11928.312782752737,0.05735102346520874,0.00031086613303571474,0.03792809077671593,10,64,8,3e-05
dinov2_vitb14_reg,odd,0.0019607843137254,0.499999999999977,8384.9426032644,125.1919963580569,10867.445606085856,1139.5557082133132,32902.40281321663,11928.312782752737,0.7029445618988354,0.010495364989009444,0.001477321962110013,10,64,8,3e-05
dinov2_vitb14_reg,odd,0.0078431372549019,1.9999999999999845,2493.9666027569665,25.944649250279223,2125.2803045828905,928.0072017994906,6732.404948458274,11928.312782752737,0.2090795779905283,0.0021750476972562994,0.004931901425731388,10,64,8,3e-05
dinov2_vitb14_reg,odd,0.0313725490196078,7.999999999999989,382.5922082859399,2.7221345843659743,147.74415514968538,222.60870089499008,685.6908558239696,11928.312782752737,0.032074293762579205,0.0002282078474922233,0.01823576972598115,10,64,8,3e-05
dinov2_vitb14_reg,odd,0.0627450980392156,15.999999999999979,139.33991956200555,0.8001940153430496,38.64258106038634,75.35129082740971,190.5066823676197,11928.312782752737,0.011681444148872294,6.708358758835179e-05,0.03792809077671593,10,64,8,3e-05
dinov2_vitb14_reg,smooth,0.0019607843137254,0.499999999999977,8113.040024832531,149.24618708404734,10279.65122686935,1139.7605729678305,30346.96671035706,11928.312782752737,0.6801498395115237,0.012511927696919873,0.001477321962110013,10,64,8,3e-05
dinov2_vitb14_reg,smooth,0.0078431372549019,1.9999999999999845,2099.0993325080312,31.14950176395781,1576.713044245286,917.2130945281696,5477.121688654203,11928.312782752737,0.1759762148040869,0.002611392099727396,0.004931901425731388,10,64,8,3e-05
dinov2_vitb14_reg,smooth,0.0313725490196078,7.999999999999989,286.3008337822529,3.312238240695451,91.9542445726352,159.78064714252676,442.0425164808817,11928.312782752737,0.024001787930663425,0.000277678687759148,0.01823576972598115,10,64,8,3e-05
dinov2_vitb14_reg,smooth,0.0627450980392156,15.999999999999979,94.17360619001417,0.9834023716866154,25.932223231728294,49.32263691172515,131.6712473937613,11928.312782752737,0.007894964518886586,8.244270498242856e-05,0.03792809077671593,10,64,8,3e-05
dinov2_vitb14_reg,step,0.0019607843137254,0.499999999999977,12958.040756630446,166.42232519744283,18062.972416875422,1189.6602576485452,56477.52184686172,11928.312782752737,1.0863263726087566,0.013951874689107288,0.001477321962110013,10,64,8,3e-05
dinov2_vitb14_reg,step,0.0078431372549019,1.9999999999999845,8913.807966735043,46.406353845167914,9100.634942146666,1412.8813159946108,27974.34166113497,11928.312782752737,0.7472815417469271,0.003890437372858575,0.004931901425731388,10,64,8,3e-05
dinov2_vitb14_reg,step,0.0313725490196078,7.999999999999989,2851.060456261938,7.535127464363086,1815.1766978077565,1227.2862129386458,6669.164331982156,11928.312782752737,0.23901623877471706,0.0006317010294413305,0.01823576972598115,10,64,8,3e-05
dinov2_vitb14_reg,step,0.0627450980392156,15.999999999999979,1360.1382342584552,3.0193245848504207,573.0800783663468,617.9929712358105,2330.829413303615,11928.312782752737,0.11402603696183188,0.00025312251949128055,0.03792809077671593,10,64,8,3e-05
dinov2_vitb14_reg,variance,0.0019607843137254,0.499999999999977,9677.683393515717,141.42033132406038,13135.613110834624,1147.7388616949456,40334.19787639701,11928.312782752737,0.8113203912215291,0.011855853707034025,0.001477321962110013,10,64,8,3e-05
dinov2_vitb14_reg,variance,0.0078431372549019,1.9999999999999845,3690.555978015075,32.88037030833507,3613.3226015230443,995.9302047765964,10484.106749820285,11928.312782752737,0.3093946348683349,0.0027564979982648606,0.004931901425731388,10,64,8,3e-05
dinov2_vitb14_reg,variance,0.0313725490196078,7.999999999999989,644.104611734909,3.7795658358002315,301.4883225417521,375.43105375167534,1224.0046266929376,11928.312782752737,0.053997964629685605,0.00031685670091290217,0.01823576972598115,10,64,8,3e-05
dinov2_vitb14_reg,variance,0.0627450980392156,15.999999999999979,246.98877322447316,1.1074469922360728,74.48729718902622,138.17423389477796,361.1625600505317,11928.312782752737,0.02070609462736395,9.284188069224183e-05,0.03792809077671593,10,64,8,3e-05
