pc,kappa_0.160681,kappa_1.60681,kappa_16.0681,kappa_160.681,kappa_1606.81
1.020000000000000000e+02,8.810080913442926154e-02,1.038848593155307920e-01,2.191944938880439064e-01,5.556380343665298094e-01,7.832030820534263693e-01
1.030000000000000000e+02,8.912028971098241714e-02,1.050618061472988335e-01,2.212706455555362994e-01,5.581739735650776968e-01,7.846948963784041720e-01
1.040000000000000000e+02,9.011629971629861457e-02,1.062110090417998087e-01,2.232893036265485298e-01,5.606152103967506628e-01,7.861255039089198871e-01
1.050000000000000000e+02,9.113676071273922596e-02,1.073881442017888405e-01,2.253533559704335720e-01,5.631009531248043487e-01,7.875798702266868512e-01
1.060000000000000000e+02,9.231196908557945391e-02,1.087431594036965127e-01,2.277211227449014441e-01,5.659295369355105132e-01,7.892297471757172556e-01
1.070000000000000000e+02,9.342780934019598305e-02,1.100291383743367407e-01,2.299606463775698273e-01,5.685839120515079337e-01,7.907733942344689071e-01
1.080000000000000000e+02,9.455666552373578893e-02,1.113298054333716480e-01,2.322216999938900017e-01,5.712527315841610109e-01,7.923230190143817353e-01
1.090000000000000000e+02,9.565286722842554490e-02,1.125923272463324187e-01,2.344097198502624047e-01,5.738171483423329944e-01,7.938080719961305709e-01
1.100000000000000000e+02,9.683110158039968940e-02,1.139485474905336942e-01,2.367501068772090156e-01,5.765334334068217270e-01,7.953753317713515569e-01
1.110000000000000000e+02,9.798748772217323599e-02,1.152793883934435104e-01,2.390437489594470499e-01,5.791876774025944696e-01,7.969051264880188112e-01
1.120000000000000000e+02,9.910033295545973842e-02,1.165597329443242847e-01,2.412454336228868901e-01,5.817225822200731145e-01,7.983633854553709996e-01
1.130000000000000000e+02,1.001257260377403646e-01,1.177392357328901074e-01,2.432708281257611738e-01,5.840470091856928558e-01,7.996989686494391236e-01
1.140000000000000000e+02,1.015407327345569516e-01,1.193655882179417149e-01,2.460468584864446140e-01,5.871901844109290725e-01,8.014960497369267856e-01
1.150000000000000000e+02,1.027051955071191236e-01,1.207033130171360075e-01,2.483219225475449821e-01,5.897452323414378306e-01,8.029525350983933718e-01
1.160000000000000000e+02,1.038327760708133429e-01,1.219982402327923626e-01,2.505188642784967334e-01,5.921992598166321287e-01,8.043486928504313127e-01
1.170000000000000000e+02,1.048923889681715321e-01,1.232144991739475004e-01,2.525747217862160388e-01,5.944769646975759381e-01,8.056407034799735190e-01
1.180000000000000000e+02,1.060683891144128532e-01,1.245632424179554248e-01,2.548408549349880925e-01,5.969546938837044792e-01,8.070395261766912798e-01
1.190000000000000000e+02,1.071580046094711552e-01,1.258127756529656416e-01,2.569386262243311125e-01,5.992443534000390093e-01,8.083313692562844599e-01
1.200000000000000000e+02,1.082931189406118183e-01,1.271138353230530649e-01,2.591149609575279511e-01,6.016009982077303864e-01,8.096572560007063712e-01
1.210000000000000000e+02,1.093922790581092763e-01,1.283732735330591346e-01,2.612166759310691755e-01,6.038651570844069116e-01,8.109287862129634927e-01
1.220000000000000000e+02,1.105643045452240486e-01,1.297157125713807591e-01,2.634509693976859745e-01,6.062584081034897432e-01,8.122700995370530919e-01
1.230000000000000000e+02,1.117275549410585989e-01,1.310471548944586451e-01,2.656555777178932209e-01,6.085939171421788085e-01,8.135739816553564374e-01
1.240000000000000000e+02,1.129537464117996992e-01,1.324502607519338071e-01,2.679743207958830142e-01,6.110401402723361075e-01,8.149376900883854580e-01
1.250000000000000000e+02,1.140371991405448593e-01,1.336894916232871100e-01,2.700157857935928662e-01,6.131794277380822056e-01,8.161275046885712037e-01
1.260000000000000000e+02,1.150568855233079363e-01,1.348554268824105618e-01,2.719322201400781180e-01,6.151782230926925443e-01,8.172373603975747747e-01
1.270000000000000000e+02,1.159959590063168039e-01,1.359283633456915275e-01,2.736860718706424778e-01,6.169863060987655912e-01,8.182373030699856553e-01
1.280000000000000000e+02,1.172573771455447111e-01,1.373690966796775048e-01,2.760353021117940564e-01,6.193956578755297482e-01,8.195674051302864749e-01
1.290000000000000000e+02,1.182647143820509256e-01,1.385193941675729457e-01,2.779081895456286255e-01,6.213105825949835070e-01,8.206234442133071294e-01
1.300000000000000000e+02,1.194622182489499251e-01,1.398863909921006510e-01,2.801285921949306923e-01,6.235695852749377766e-01,8.218671279214542214e-01
1.310000000000000000e+02,1.204355642895248713e-01,1.409972503047738079e-01,2.819300162518932340e-01,6.253961537416806715e-01,8.228715837135254230e-01
1.320000000000000000e+02,1.215438215157476770e-01,1.422615340126668071e-01,2.839739104089882282e-01,6.274553928720714158e-01,8.240015408130998420e-01
1.330000000000000000e+02,1.227702942882149678e-01,1.436601072596238593e-01,2.862283468245536699e-01,6.297132464920607298e-01,8.252379899468557101e-01
1.340000000000000000e+02,1.238352645184013778e-01,1.448743218076772865e-01,2.881833785091596489e-01,6.316666820320716580e-01,8.263068937823655480e-01
1.350000000000000000e+02,1.249960078189646245e-01,1.461966534635692205e-01,2.903001863805077520e-01,6.337569334913312202e-01,8.274461449988511630e-01
1.360000000000000000e+02,1.261432808335798683e-01,1.475034461408029907e-01,2.923899208448772491e-01,6.358160588271900560e-01,8.285676341001966261e-01
1.370000000000000000e+02,1.276977931916830622e-01,1.492731151666308043e-01,2.952086925012263885e-01,6.385714666826353136e-01,8.300643728757511886e-01
1.380000000000000000e+02,1.288485547571191214e-01,1.505826172927622886e-01,2.972884904214764812e-01,6.405927656384204916e-01,8.311602399164681465e-01
1.390000000000000000e+02,1.299697374906334246e-01,1.518582587492207925e-01,2.993122471031894327e-01,6.425552036550121748e-01,8.322234094910624380e-01
1.400000000000000000e+02,1.310693914382118630e-01,1.531087953669303670e-01,3.012893544297717829e-01,6.444592724209565748e-01,8.332526264429936935e-01
1.410000000000000000e+02,1.322588877956039632e-01,1.544612903906049106e-01,3.034253054376768177e-01,6.465118166216163864e-01,8.343613028065209880e-01
1.420000000000000000e+02,1.333447707239565350e-01,1.556957335475965820e-01,3.053721509009347246e-01,6.483775561858960979e-01,8.353681794406311312e-01
1.430000000000000000e+02,1.346382831113692446e-01,1.571654792952590085e-01,3.076819770779785079e-01,6.505758495880804571e-01,8.365518399843143715e-01
1.440000000000000000e+02,1.358104678569039825e-01,1.584969924087458459e-01,3.097704252412050718e-01,6.525557262727492702e-01,8.376165449248533790e-01
1.450000000000000000e+02,1.368936650266786015e-01,1.597269594185610764e-01,3.116945132555474784e-01,6.543703555901313473e-01,8.385907465383147796e-01
1.460000000000000000e+02,1.380126997079985374e-01,1.609974299195690850e-01,3.136798816473167495e-01,6.562389426052067654e-01,8.395932503668767088e-01
1.470000000000000000e+02,1.391487990614543591e-01,1.622865288417793539e-01,3.156862249337714643e-01,6.581124235772377595e-01,8.405958243947669883e-01
1.480000000000000000e+02,1.402077391242678994e-01,1.634877184301106456e-01,3.175518483972866179e-01,6.598474563952244631e-01,8.415231012135508948e-01
1.490000000000000000e+02,1.413675074997479408e-01,1.648025499732560517e-01,3.195860748729192902e-01,6.617251675187889592e-01,8.425242281576242886e-01
1.500000000000000000e+02,1.426758865993240089e-01,1.662854849810569691e-01,3.218763253615758990e-01,6.638320154816611529e-01,8.436463032138222795e-01
1.510000000000000000e+02,1.438944105575753196e-01,1.676656210224410359e-01,3.239975797419752945e-01,6.657654893270527063e-01,8.446730312885019076e-01
