model,subject,value,metric
regnety_640,paul_20250428-20250430,18358.68844880834,trace_df2_090
regnety_640,red_20250428-20250430,18030.716867027615,trace_df2_090
regnety_640,three0_250426-250501,26129.569109724038,trace_df2_090
regnety_640,venus_250426-250429,25380.65997459118,trace_df2_090
resnet50,leap_250426-250501,15289.008536226233,trace_df2_090
resnet50,paul_20250428-20250430,23958.293477964056,trace_df2_090
resnet50,red_20250428-20250430,28753.62076370165,trace_df2_090
resnet50,three0_250426-250501,26319.745892225215,trace_df2_090
resnet50,venus_250426-250429,11345.915278991382,trace_df2_090
resnet50_clip,leap_250426-250501,124425.5382474863,trace_df2_090
resnet50_clip,paul_20250428-20250430,175481.94768730272,trace_df2_090
resnet50_clip,red_20250428-20250430,157368.42509465571,trace_df2_090
resnet50_clip,three0_250426-250501,181762.25426299937,trace_df2_090
resnet50_clip,venus_250426-250429,153694.65163679718,trace_df2_090
resnet50_dino,leap_250426-250501,38496.54017708383,trace_df2_090
resnet50_dino,paul_20250428-20250430,25553.53826994401,trace_df2_090
resnet50_dino,red_20250428-20250430,27642.083429280472,trace_df2_090
resnet50_dino,three0_250426-250501,33951.182291096105,trace_df2_090
resnet50_dino,venus_250426-250429,32506.286667602675,trace_df2_090
resnet50_robust,leap_250426-250501,93.76736008418708,trace_df2_090
resnet50_robust,paul_20250428-20250430,86.78494423721075,trace_df2_090
resnet50_robust,red_20250428-20250430,81.73351207356978,trace_df2_090
resnet50_robust,three0_250426-250501,80.56695658042553,trace_df2_090
resnet50_robust,venus_250426-250429,76.73399203486912,trace_df2_090
siglip2_vitb16,leap_250426-250501,8626.207998822687,trace_df2_090
siglip2_vitb16,paul_20250428-20250430,16191.004541341696,trace_df2_090
siglip2_vitb16,red_20250428-20250430,16095.98482133901,trace_df2_090
siglip2_vitb16,three0_250426-250501,15085.65072510455,trace_df2_090
siglip2_vitb16,venus_250426-250429,11314.357956124344,trace_df2_090
