model,subject,metric,noise_255,energy,exact_energy,ratio
dinov2_vitb14_reg,venus_250426-250429,neighborhood,0.5,7709.649884584995,7966.486428422274,0.9677603738931939
dinov2_vitb14_reg,venus_250426-250429,neighborhood,2.0,4682.822638412717,7966.486428422274,0.5878153035829785
dinov2_vitb14_reg,venus_250426-250429,neighborhood,8.0,1232.8360226687942,7966.486428422274,0.1547527926829032
dinov2_vitb14_reg,venus_250426-250429,neighborhood,16.0,572.0805717126419,7966.486428422274,0.07181090143725254
dinov2_vitb14_reg,venus_250426-250429,smooth,0.5,6440.764889554308,7966.486428422274,0.8084825032244324
dinov2_vitb14_reg,venus_250426-250429,smooth,2.0,2175.2733565652147,7966.486428422274,0.2730530424057997
dinov2_vitb14_reg,venus_250426-250429,smooth,8.0,378.99420725819533,7966.486428422274,0.04757357094164452
dinov2_vitb14_reg,venus_250426-250429,smooth,16.0,137.4636066206241,7966.486428422274,0.0172552364026117
dinov2_vitb14_reg,venus_250426-250429,step,0.5,11826.484237524846,7966.486428422274,1.4845295154625684
dinov2_vitb14_reg,venus_250426-250429,step,2.0,14701.14526926338,7966.486428422274,1.8453737919911166
dinov2_vitb14_reg,venus_250426-250429,step,8.0,6488.922510688095,7966.486428422274,0.8145275296694626
dinov2_vitb14_reg,venus_250426-250429,step,16.0,3365.4236291893017,7966.486428422274,0.422447669926654
dinov2_vitb14_reg,venus_250426-250429,variance,0.5,7063.046854035701,7966.486428422274,0.8865949772834176
dinov2_vitb14_reg,venus_250426-250429,variance,2.0,3273.693303845892,7966.486428422274,0.4109331426419353
dinov2_vitb14_reg,venus_250426-250429,variance,8.0,718.0757781105402,7966.486428422274,0.09013707417471266
dinov2_vitb14_reg,venus_250426-250429,variance,16.0,299.2080089382213,7966.486428422274,0.03755834038337502
radio_v2.5-b,leap_250426-250501,neighborhood,0.5,4148.804507710857,3969.5796323507343,1.0451495855882322
radio_v2.5-b,leap_250426-250501,neighborhood,2.0,3568.301259587857,3969.5796323507343,0.8989116203910879
radio_v2.5-b,leap_250426-250501,neighborhood,8.0,1330.594136488204,3969.5796323507343,0.33519774377224
radio_v2.5-b,leap_250426-250501,neighborhood,16.0,693.4665183306989,3969.5796323507343,0.17469520265551064
radio_v2.5-b,leap_250426-250501,smooth,0.5,3622.201175665244,3969.5796323507343,0.9124898631949658
radio_v2.5-b,leap_250426-250501,smooth,2.0,1890.539686903975,3969.5796323507343,0.4762568992184247
radio_v2.5-b,leap_250426-250501,smooth,8.0,460.66682520506066,3969.5796323507343,0.11604927167873935
radio_v2.5-b,leap_250426-250501,smooth,16.0,183.79732672939517,3969.5796323507343,0.04630145853014485
radio_v2.5-b,leap_250426-250501,step,0.5,6578.796704018989,3969.5796323507343,1.6573031185478724
radio_v2.5-b,leap_250426-250501,step,2.0,14688.294099882105,3969.5796323507343,3.700213992478565
radio_v2.5-b,leap_250426-250501,step,8.0,8039.5377379605525,3969.5796323507343,2.025286927724294
radio_v2.5-b,leap_250426-250501,step,16.0,4371.243909149494,3969.5796323507343,1.1011855949494833
radio_v2.5-b,leap_250426-250501,variance,0.5,3894.40508050614,3969.5796323507343,0.9810623393893029
radio_v2.5-b,leap_250426-250501,variance,2.0,2628.7501986902685,3969.5796323507343,0.6622238227108084
radio_v2.5-b,leap_250426-250501,variance,8.0,805.7060108043614,3969.5796323507343,0.2029701090357602
radio_v2.5-b,leap_250426-250501,variance,16.0,368.6776454310691,3969.5796323507343,0.09287573989610153
