trial,gen_baseline,gen_linear,gen_noise,N0_over_D0,N1_over_D0,D1_over_D0,D2_over_D0,slope_fit_error,gen_fit_error
81,5.718220560925777e-05,1.6114682717641713e-05,0.0019709740479350443,1.0000008320824394,-0.014087844244789538,-0.0281636991015134,4.576968922239403,5.88418203051333e-15,1.5581340471332306e-16
82,6.10281967130559e-05,-2.119982664849728e-05,0.0012087203794193134,1.0000007151218064,0.015844375023350454,0.031676843960021364,2.551639823263016,9.880984919163893e-15,9.825582188149884e-18
83,5.825763898243461e-05,-6.692696615120768e-06,0.0023178901814434718,1.0000009092700404,-0.005985125244810152,-0.011971411972550345,5.090713442384307,1.199040866595169e-14,1.8600843521704435e-16
84,6.496471094960624e-05,-3.270995694861943e-06,0.002165309704348323,1.0000008370038822,0.009224361682998838,0.01840252884305123,4.557007959279408,8.770761894538737e-15,1.5448525705202831e-16
85,5.678103776949258e-05,-8.962625886319578e-06,0.0015076806568323203,1.000001360121595,0.002286977699851922,0.004613716296249385,3.4869961636332456,6.994405055138486e-15,5.015790300461065e-17
86,6.410476540854863e-05,-4.848433276474765e-05,0.0014889313361038771,1.0000009668587877,0.013694143325770736,0.02739651957033629,3.0915146530688262,3.219646771412954e-15,5.78692909564138e-18
87,5.8561055599246585e-05,3.4472346764384207e-05,0.0018844558313332678,1.0000008636040656,-0.01318649563776697,-0.026361325452844035,3.078668737556002,5.773159728050814e-15,1.5951324462692984e-17
88,6.712517627763731e-05,-2.85548596830644e-05,0.0021235342255134645,1.00000072051678,-0.003057684735980004,-0.006150827800315984,4.065235782815811,4.9182879990894435e-14,2.258257600015745e-16
89,5.157592010957483e-05,1.59621876605107e-05,0.001162166618258209,1.0000008659388315,-0.013474112010305739,-0.026947285191368138,2.1274891763549126,2.886579864025407e-15,1.2996873542669984e-17
90,6.251781098110338e-05,-4.295453543250196e-05,0.0018779783664967362,1.0000009839745991,0.020050254524570432,0.04007459966526484,4.313333961088265,6.8833827526759706e-15,5.500970772648328e-17
91,6.67670998094836e-05,2.387906990900516e-05,0.00237047998374975,1.0000012736585548,-0.008244204434517954,-0.016349151465751142,4.424919620959846,6.250555628639631e-14,1.5743022120304206e-15
92,5.6222878990449286e-05,-3.0325417700846857e-05,0.001370241873238564,1.0000008721498483,0.009955537239708157,0.01990045668218652,2.3530613693940423,7.549516567451064e-15,1.509751525186065e-17
93,6.199524661021012e-05,-1.510117786028217e-05,0.0014478613794768184,1.0000010594492688,-0.0013471521773465445,-0.0026601679169192924,2.826360689514567,6.5503158452884236e-15,4.0657581468206416e-17
94,6.067676081006243e-05,-2.8913328345079247e-05,0.0028236561420015645,1.0000011430582765,-0.0004260626026704184,-0.0009269986582666159,5.370975601753569,3.907985046680551e-14,8.566823465894213e-16
95,6.093960952495288e-05,1.0903735561357795e-05,0.0016863115079818528,1.0000007876009462,0.006372506839700198,0.01274561209666287,3.5578612730417474,5.995204332975845e-15,4.5197678065489466e-17
96,5.6458411887771266e-05,3.379659606303194e-06,0.0015996624221372338,1.0000007400059396,-0.010803550495720349,-0.021607053881064427,2.9380809545752857,4.440892098500626e-15,3.144186300207963e-18
97,5.6235706760698556e-05,-4.488890956640259e-05,0.0015165966080762081,1.0000008328473937,0.014802861862977135,0.029601522086011307,2.346708788060917,4.6629367034256575e-15,2.3120611328253382e-17
98,5.595119446608287e-05,-9.189822501997686e-06,0.001601958563443948,1.000000703953247,0.013999242907278386,0.02798958366564252,3.280930106943476,8.659739592076221e-15,2.2944428475224488e-17
99,5.587739312901416e-05,-6.0210937784805154e-05,0.0016681000856778874,1.0000008646690588,0.0060903229033383854,0.012182666705179741,2.735358280779709,3.1086244689504383e-15,7.995991022080595e-18
